Package_Id,From_City,Destination,Destination_Type,Trip_Duration_Days,Activities_Count,Accommodation,Transport_Mode,Package_Type,Budget,Season
PKG-00102,bengaluru,mumbai,Adventure,2,8,Hotel,Train,Luxury,63360,Summer
PKG-00103,bengaluru,mumbai,Adventure,10,3,Hotel,Flight,Standard,49920,Summer
PKG-00104,bengaluru,mumbai,Adventure,2,4,Camping,Train,Standard,14080,Summer
PKG-00105,bengaluru,mumbai,Adventure,7,3,Hotel,Bus,Luxury,41280,Summer
PKG-00106,bengaluru,mumbai,Adventure,3,4,Hotel,Flight,Luxury,67200,Summer
PKG-00107,bengaluru,mumbai,Adventure,4,3,Resort,Bus,Standard,20400,Summer
PKG-00108,bengaluru,mumbai,Adventure,8,2,Hotel,Bus,Luxury,40320,Summer
PKG-00109,bengaluru,mumbai,Adventure,7,8,Hotel,Flight,Luxury,120960,Summer
PKG-00110,bengaluru,mumbai,Beach,5,4,Hotel,Bus,Luxury,39360,Winter
PKG-00111,bengaluru,mumbai,Beach,3,5,Hotel,Car,Premium,32759,Winter
PKG-00112,bengaluru,mumbai,Beach,5,3,Camping,Flight,Premium,33152,Winter
PKG-00113,bengaluru,mumbai,Beach,6,8,Resort,Bus,Standard,36000,Winter
PKG-00114,bengaluru,mumbai,Beach,2,7,Resort,Bus,Premium,36960,Winter
PKG-00115,bengaluru,mumbai,Beach,7,4,Resort,Car,Premium,49350,Winter
PKG-00116,bengaluru,mumbai,Beach,7,7,Resort,Flight,Luxury,141600,Winter
PKG-00117,bengaluru,mumbai,Beach,10,4,Hotel,Car,Standard,33600,Winter
PKG-00118,bengaluru,mumbai,Beach,6,3,Resort,Train,Standard,33000,Winter
PKG-00119,bengaluru,mumbai,Beach,3,6,Hotel,Flight,Premium,57791,Winter
PKG-00120,bengaluru,bengaluru,City,7,5,Resort,Car,Premium,53550,Winter
PKG-00121,bengaluru,bengaluru,City,5,4,Resort,Car,Luxury,61500,Winter
PKG-00122,bengaluru,bengaluru,City,8,2,Hotel,Bus,Premium,28224,Winter
PKG-00123,bengaluru,bengaluru,City,8,2,Hotel,Train,Luxury,55440,Winter
PKG-00124,bengaluru,bengaluru,City,7,7,Hotel,Car,Luxury,70800,Winter
PKG-00125,bengaluru,bengaluru,City,6,6,Hotel,Train,Luxury,68640,Winter
PKG-00126,bengaluru,bengaluru,City,8,4,Resort,Flight,Luxury,120000,Winter
PKG-00127,bengaluru,bengaluru,City,6,6,Resort,Bus,Standard,31200,Winter
PKG-00128,bengaluru,bengaluru,City,8,7,Hotel,Flight,Luxury,119040,Winter
PKG-00129,bengaluru,bengaluru,City,4,6,Hotel,Train,Premium,42504,Winter
PKG-00130,bengaluru,bengaluru,Cultural,10,8,Hotel,Car,Premium,60479,Winter
PKG-00131,bengaluru,bengaluru,Cultural,6,3,Hotel,Flight,Luxury,76800,Winter
PKG-00132,bengaluru,bengaluru,Cultural,7,5,Hotel,Flight,Premium,68544,Winter
PKG-00133,bengaluru,bengaluru,Cultural,5,6,Hotel,Flight,Luxury,94080,Winter
PKG-00134,bengaluru,bengaluru,Cultural,4,7,Camping,Car,Premium,28000,Winter
PKG-00135,bengaluru,bengaluru,Cultural,10,7,Hotel,Train,Standard,44880,Winter
PKG-00136,bengaluru,bengaluru,Cultural,5,7,Hotel,Train,Standard,34980,Winter
PKG-00137,bengaluru,bengaluru,Cultural,5,3,Resort,Car,Standard,27750,Winter
PKG-00138,bengaluru,bengaluru,Cultural,5,5,Hotel,Car,Premium,37800,Winter
PKG-00139,bengaluru,bengaluru,Cultural,8,7,Camping,Bus,Luxury,39680,Winter
PKG-00140,bengaluru,bengaluru,Historical,8,5,Camping,Flight,Standard,34560,Winter
PKG-00141,bengaluru,bengaluru,Historical,4,7,Hotel,Car,Standard,30000,Winter
PKG-00142,bengaluru,bengaluru,Historical,8,3,Hotel,Bus,Luxury,44160,Winter
PKG-00143,bengaluru,bengaluru,Historical,10,5,Hotel,Car,Luxury,72000,Winter
PKG-00144,bengaluru,bengaluru,Historical,5,8,Hotel,Car,Premium,47880,Winter
PKG-00145,bengaluru,bengaluru,Historical,4,8,Hotel,Flight,Luxury,103680,Winter
PKG-00146,bengaluru,bengaluru,Historical,10,6,Resort,Train,Premium,73920,Winter
PKG-00147,bengaluru,bengaluru,Historical,10,5,Hotel,Flight,Standard,57600,Winter
PKG-00148,bengaluru,bengaluru,Historical,9,5,Hotel,Train,Standard,37620,Winter
PKG-00149,bengaluru,bengaluru,Historical,6,8,Hotel,Flight,Luxury,115200,Winter
PKG-00150,bengaluru,bengaluru,Adventure,5,4,Camping,Flight,Standard,26240,Summer
PKG-00151,bengaluru,bengaluru,Adventure,6,3,Hotel,Train,Premium,36960,Summer
PKG-00152,bengaluru,bengaluru,Adventure,7,6,Hotel,Car,Standard,33000,Summer
PKG-00153,bengaluru,bengaluru,Adventure,4,3,Hotel,Flight,Luxury,65280,Summer
PKG-00154,bengaluru,bengaluru,Adventure,4,7,Camping,Bus,Standard,16000,Summer
PKG-00155,bengaluru,bengaluru,Adventure,8,5,Hotel,Train,Luxury,71280,Summer
PKG-00156,bengaluru,bengaluru,Adventure,9,5,Resort,Car,Standard,42750,Summer
PKG-00157,bengaluru,bengaluru,Adventure,8,5,Resort,Car,Luxury,81000,Summer
PKG-00158,bengaluru,bengaluru,Adventure,8,5,Hotel,Car,Premium,45360,Summer
PKG-00159,bengaluru,bengaluru,Adventure,6,8,Resort,Flight,Premium,100800,Summer
PKG-00160,bengaluru,bengaluru,Hill Station,10,7,Hotel,Bus,Premium,45696,Summer
PKG-00161,bengaluru,bengaluru,Hill Station,5,4,Resort,Flight,Premium,68880,Summer
PKG-00162,bengaluru,bengaluru,Hill Station,2,5,Resort,Train,Luxury,59400,Summer
PKG-00163,bengaluru,bengaluru,Hill Station,8,7,Hotel,Bus,Premium,41664,Summer
PKG-00164,bengaluru,bengaluru,Hill Station,4,6,Hotel,Car,Premium,38640,Summer
PKG-00165,bengaluru,bengaluru,Hill Station,2,2,Resort,Flight,Standard,28800,Summer
PKG-00166,bengaluru,bengaluru,Hill Station,9,3,Hotel,Car,Premium,41160,Summer
PKG-00167,bengaluru,bengaluru,Hill Station,8,4,Hotel,Bus,Premium,33600,Summer
PKG-00168,bengaluru,bengaluru,Hill Station,7,4,Hotel,Flight,Premium,63167,Summer
PKG-00169,bengaluru,bengaluru,Hill Station,8,4,Hotel,Car,Premium,42000,Summer
PKG-00170,bengaluru,bengaluru,Coastal,2,7,Resort,Car,Premium,46200,Monsoon
PKG-00171,bengaluru,bengaluru,Coastal,5,7,Hotel,Car,Luxury,63600,Monsoon
PKG-00172,bengaluru,bengaluru,Coastal,2,8,Hotel,Car,Standard,28800,Monsoon
PKG-00173,bengaluru,bengaluru,Coastal,5,8,Hotel,Car,Luxury,68400,Monsoon
PKG-00174,bengaluru,bengaluru,Coastal,4,3,Resort,Bus,Premium,28560,Monsoon
PKG-00175,bengaluru,bengaluru,Coastal,3,6,Hotel,Bus,Premium,28895,Monsoon
PKG-00176,bengaluru,bengaluru,Coastal,6,8,Resort,Train,Standard,49500,Monsoon
PKG-00177,bengaluru,bengaluru,Coastal,3,8,Hotel,Bus,Premium,34272,Monsoon
PKG-00178,bengaluru,bengaluru,Coastal,3,6,Camping,Car,Premium,24080,Monsoon
PKG-00179,bengaluru,bengaluru,Coastal,8,5,Hotel,Bus,Standard,25920,Monsoon
PKG-00180,bengaluru,delhi,City,5,2,Hotel,Train,Luxury,43560,Winter
PKG-00181,bengaluru,delhi,City,3,8,Hotel,Car,Premium,42840,Winter
PKG-00182,bengaluru,delhi,City,10,5,Camping,Train,Standard,26400,Winter
PKG-00183,bengaluru,delhi,City,10,7,Resort,Train,Standard,56100,Winter
PKG-00184,bengaluru,delhi,City,8,8,Hotel,Flight,Standard,63360,Winter
PKG-00185,bengaluru,delhi,City,8,4,Resort,Flight,Luxury,120000,Winter
PKG-00186,bengaluru,delhi,City,4,5,Resort,Bus,Luxury,50400,Winter
PKG-00187,bengaluru,delhi,City,10,7,Hotel,Train,Luxury,89760,Winter
PKG-00188,bengaluru,delhi,City,10,8,Hotel,Flight,Premium,96768,Winter
PKG-00189,bengaluru,delhi,City,8,8,Hotel,Train,Premium,60983,Winter
PKG-00190,bengaluru,delhi,Cultural,5,8,Hotel,Car,Premium,47880,Winter
PKG-00191,bengaluru,delhi,Cultural,9,3,Resort,Flight,Luxury,117600,Winter
PKG-00192,bengaluru,delhi,Cultural,8,4,Camping,Car,Premium,28000,Winter
PKG-00193,bengaluru,delhi,Cultural,7,3,Resort,Flight,Standard,51600,Winter
PKG-00194,bengaluru,delhi,Cultural,7,8,Hotel,Train,Premium,58211,Winter
PKG-00195,bengaluru,delhi,Cultural,6,6,Hotel,Train,Luxury,68640,Winter
PKG-00196,bengaluru,delhi,Cultural,2,6,Resort,Bus,Standard,24000,Winter
PKG-00197,bengaluru,delhi,Cultural,5,7,Resort,Flight,Premium,89040,Winter
PKG-00198,bengaluru,delhi,Cultural,10,8,Resort,Bus,Luxury,86400,Winter
PKG-00199,bengaluru,delhi,Cultural,9,7,Resort,Flight,Premium,109200,Winter
PKG-00200,bengaluru,delhi,Historical,2,2,Resort,Train,Standard,19800,Winter
PKG-00201,bengaluru,delhi,Historical,8,7,Hotel,Bus,Premium,41664,Winter
PKG-00202,bengaluru,delhi,Historical,7,5,Hotel,Train,Premium,47124,Winter
PKG-00203,bengaluru,delhi,Historical,10,4,Resort,Train,Luxury,92400,Winter
PKG-00204,bengaluru,delhi,Historical,9,4,Resort,Train,Premium,61214,Winter
PKG-00205,bengaluru,delhi,Historical,5,2,Hotel,Bus,Premium,22176,Winter
PKG-00206,bengaluru,delhi,Historical,3,7,Hotel,Bus,Standard,22560,Winter
PKG-00207,bengaluru,delhi,Historical,5,7,Resort,Flight,Premium,89040,Winter
PKG-00208,bengaluru,delhi,Historical,10,6,Hotel,Train,Standard,42240,Winter
PKG-00209,bengaluru,delhi,Historical,5,4,Hotel,Bus,Premium,27552,Winter
PKG-00210,bengaluru,delhi,Adventure,4,4,Hotel,Car,Luxury,45600,Summer
PKG-00211,bengaluru,delhi,Adventure,10,3,Resort,Train,Standard,42900,Summer
PKG-00212,bengaluru,delhi,Adventure,2,6,Resort,Train,Luxury,66000,Summer
PKG-00213,bengaluru,delhi,Adventure,4,7,Hotel,Flight,Standard,48000,Summer
PKG-00214,bengaluru,delhi,Adventure,2,6,Resort,Train,Premium,46200,Summer
PKG-00215,bengaluru,delhi,Adventure,9,5,Hotel,Train,Standard,37620,Summer
PKG-00216,bengaluru,delhi,Adventure,2,4,Hotel,Flight,Standard,30720,Summer
PKG-00217,bengaluru,delhi,Adventure,3,5,Resort,Flight,Standard,46800,Summer
PKG-00218,bengaluru,delhi,Adventure,2,3,Resort,Bus,Luxury,33600,Summer
PKG-00219,bengaluru,delhi,Adventure,6,2,Resort,Bus,Standard,21600,Summer
PKG-00220,bengaluru,delhi,Desert,10,8,Resort,Flight,Luxury,172800,Summer
PKG-00221,bengaluru,delhi,Desert,5,8,Hotel,Flight,Premium,76608,Summer
PKG-00222,bengaluru,delhi,Desert,9,4,Hotel,Flight,Premium,71232,Summer
PKG-00223,bengaluru,delhi,Desert,2,6,Hotel,Car,Standard,24000,Summer
PKG-00224,bengaluru,delhi,Desert,5,4,Hotel,Car,Standard,24600,Summer
PKG-00225,bengaluru,delhi,Desert,5,3,Hotel,Car,Standard,22200,Summer
PKG-00226,bengaluru,delhi,Desert,2,5,Camping,Flight,Luxury,46080,Summer
PKG-00227,bengaluru,delhi,Desert,9,4,Hotel,Car,Standard,31800,Summer
PKG-00228,bengaluru,delhi,Desert,6,7,Resort,Train,Luxury,92400,Summer
PKG-00229,bengaluru,delhi,Desert,9,2,Resort,Bus,Premium,37800,Summer
PKG-00230,bengaluru,delhi,Mountain,5,5,Resort,Car,Luxury,67500,Summer
PKG-00231,bengaluru,delhi,Mountain,5,7,Hotel,Bus,Premium,35616,Summer
PKG-00232,bengaluru,delhi,Mountain,4,2,Hotel,Car,Standard,18000,Summer
PKG-00233,bengaluru,delhi,Mountain,6,6,Hotel,Train,Premium,48048,Summer
PKG-00234,bengaluru,delhi,Mountain,3,5,Hotel,Train,Luxury,51480,Summer
PKG-00235,bengaluru,delhi,Mountain,8,4,Resort,Flight,Premium,84000,Summer
PKG-00236,bengaluru,delhi,Mountain,3,6,Hotel,Car,Premium,36120,Summer
PKG-00237,bengaluru,delhi,Mountain,7,6,Hotel,Train,Standard,36300,Summer
PKG-00238,bengaluru,delhi,Mountain,3,3,Resort,Car,Luxury,46500,Summer
PKG-00239,bengaluru,delhi,Mountain,6,6,Hotel,Car,Standard,31200,Summer
PKG-00240,bengaluru,chennai,City,9,6,Camping,Flight,Premium,54656,Winter
PKG-00241,bengaluru,chennai,City,4,6,Camping,Flight,Luxury,58880,Winter
PKG-00242,bengaluru,chennai,City,9,2,Camping,Flight,Premium,40320,Winter
PKG-00243,bengaluru,chennai,City,8,4,Hotel,Train,Luxury,66000,Winter
PKG-00244,bengaluru,chennai,City,3,8,Hotel,Bus,Premium,34272,Winter
PKG-00245,bengaluru,chennai,City,8,7,Camping,Flight,Premium,55552,Winter
PKG-00246,bengaluru,chennai,City,8,8,Hotel,Car,Premium,55440,Winter
PKG-00247,bengaluru,chennai,City,3,4,Camping,Train,Premium,21560,Winter
PKG-00248,bengaluru,chennai,City,3,8,Camping,Flight,Luxury,65280,Winter
PKG-00249,bengaluru,chennai,City,2,7,Resort,Flight,Premium,73920,Winter
PKG-00250,bengaluru,chennai,Coastal,2,3,Hotel,Train,Luxury,36960,Monsoon
PKG-00251,bengaluru,chennai,Coastal,9,7,Hotel,Flight,Standard,62400,Monsoon
PKG-00252,bengaluru,chennai,Coastal,5,4,Resort,Bus,Premium,34440,Monsoon
PKG-00253,bengaluru,chennai,Coastal,2,7,Hotel,Bus,Luxury,42240,Monsoon
PKG-00254,bengaluru,chennai,Coastal,4,4,Hotel,Car,Luxury,45600,Monsoon
PKG-00255,bengaluru,chennai,Coastal,8,2,Camping,Bus,Standard,13440,Monsoon
PKG-00256,bengaluru,chennai,Coastal,9,2,Resort,Bus,Premium,37800,Monsoon
PKG-00257,bengaluru,chennai,Coastal,6,6,Hotel,Train,Premium,48048,Monsoon
PKG-00258,bengaluru,chennai,Coastal,9,5,Hotel,Bus,Premium,38304,Monsoon
PKG-00259,bengaluru,chennai,Beach,10,3,Resort,Flight,Standard,62400,Winter
PKG-00260,bengaluru,chennai,Beach,10,7,Camping,Bus,Standard,21760,Winter
PKG-00261,bengaluru,chennai,Beach,6,8,Hotel,Flight,Premium,80640,Winter
PKG-00262,bengaluru,chennai,Beach,10,4,Hotel,Car,Premium,47040,Winter
PKG-00263,bengaluru,chennai,Beach,6,8,Resort,Flight,Standard,72000,Winter
PKG-00264,bengaluru,chennai,Beach,9,6,Resort,Flight,Premium,102480,Winter
PKG-00265,bengaluru,chennai,Beach,7,6,Resort,Flight,Premium,92400,Winter
PKG-00266,bengaluru,chennai,Beach,7,8,Resort,Bus,Luxury,75600,Winter
PKG-00267,bengaluru,chennai,Beach,5,6,Hotel,Flight,Standard,47040,Winter
PKG-00268,bengaluru,chennai,Beach,8,2,Hotel,Train,Luxury,55440,Winter
PKG-00269,bengaluru,chennai,Cultural,9,7,Resort,Flight,Premium,109200,Winter
PKG-00270,bengaluru,chennai,Cultural,4,5,Resort,Car,Standard,31500,Winter
PKG-00271,bengaluru,chennai,Cultural,10,6,Resort,Train,Standard,52800,Winter
PKG-00272,bengaluru,chennai,Cultural,9,2,Camping,Flight,Standard,28800,Winter
PKG-00273,bengaluru,chennai,Cultural,4,5,Hotel,Bus,Standard,20160,Winter
PKG-00274,bengaluru,chennai,Cultural,9,8,Hotel,Train,Premium,63756,Winter
PKG-00275,bengaluru,chennai,Cultural,8,7,Resort,Car,Premium,65099,Winter
PKG-00276,bengaluru,chennai,Cultural,10,5,Resort,Train,Luxury,99000,Winter
PKG-00277,bengaluru,chennai,Cultural,9,8,Resort,Car,Luxury,103500,Winter
PKG-00278,bengaluru,chennai,Cultural,3,3,Resort,Train,Standard,25575,Winter
PKG-00279,bengaluru,chennai,Historical,3,5,Resort,Car,Luxury,58500,Winter
PKG-00280,bengaluru,chennai,Historical,3,5,Hotel,Bus,Luxury,37440,Winter
PKG-00281,bengaluru,chennai,Historical,6,2,Hotel,Car,Premium,30239,Winter
PKG-00282,bengaluru,chennai,Historical,2,4,Hotel,Train,Premium,29567,Winter
PKG-00283,bengaluru,chennai,Historical,8,3,Hotel,Bus,Luxury,44160,Winter
PKG-00284,bengaluru,chennai,Historical,8,6,Hotel,Bus,Standard,27840,Winter
PKG-00285,bengaluru,chennai,Historical,4,2,Hotel,Flight,Luxury,57600,Winter
PKG-00286,bengaluru,chennai,Historical,5,5,Hotel,Bus,Standard,21600,Winter
PKG-00287,bengaluru,chennai,Historical,9,7,Hotel,Train,Premium,60059,Winter
PKG-00288,bengaluru,chennai,Historical,6,7,Hotel,Car,Premium,47040,Winter
PKG-00289,bengaluru,chennai,Backwater,6,7,Hotel,Bus,Standard,26880,Monsoon
PKG-00290,bengaluru,chennai,Backwater,9,4,Hotel,Train,Luxury,69960,Monsoon
PKG-00291,bengaluru,chennai,Backwater,8,7,Resort,Train,Premium,71610,Monsoon
PKG-00292,bengaluru,chennai,Backwater,6,3,Hotel,Flight,Premium,53760,Monsoon
PKG-00293,bengaluru,chennai,Backwater,3,3,Hotel,Flight,Luxury,59520,Monsoon
PKG-00294,bengaluru,chennai,Backwater,7,6,Hotel,Train,Luxury,72600,Monsoon
PKG-00295,bengaluru,chennai,Backwater,6,2,Resort,Flight,Premium,60479,Monsoon
PKG-00296,bengaluru,chennai,Backwater,2,6,Hotel,Car,Luxury,48000,Monsoon
PKG-00297,bengaluru,chennai,Backwater,9,8,Resort,Train,Standard,56925,Monsoon
PKG-00298,bengaluru,chennai,Backwater,7,3,Hotel,Bus,Luxury,41280,Monsoon
PKG-00299,bengaluru,kochi,Coastal,6,7,Hotel,Bus,Luxury,53760,Monsoon
PKG-00300,bengaluru,kochi,Coastal,3,7,Hotel,Car,Premium,39480,Monsoon
PKG-00301,bengaluru,kochi,Coastal,9,2,Hotel,Train,Luxury,59400,Monsoon
PKG-00302,bengaluru,kochi,Coastal,4,2,Resort,Train,Premium,34650,Monsoon
PKG-00303,bengaluru,kochi,Coastal,8,3,Resort,Bus,Standard,27600,Monsoon
PKG-00304,bengaluru,kochi,Coastal,10,4,Camping,Train,Standard,24640,Monsoon
PKG-00305,bengaluru,kochi,Coastal,6,8,Hotel,Flight,Premium,80640,Monsoon
